fold,seed,mode,k,repeat,test_loss,AUROC,AUPRC,balanced_accuracy,R@1,R@5,R@10,MRR,image_R@1,image_R@5,image_R@10,image_MRR,image_median_rank,brain_R@1,brain_R@5,brain_R@10,brain_MRR,brain_median_rank,n_test_pairs,baseline_AUROC,baseline_AUPRC,baseline_R@5,baseline_MRR,baseline_brain_R@5,baseline_brain_MRR,AUROC_drop,AUPRC_drop,R@5_drop,MRR_drop,brain_R@5_drop,brain_MRR_drop
fold_01,11,random,10,6,0.6225777196303153,0.8207113916744496,0.7843298423683586,0.6925587467362924,0.011314186248912,0.0557006092254134,0.103568320278503,0.047957312914346,0.0165361183637946,0.0583115752828546,0.1070496083550913,0.0521605945775711,90.5,0.0221932114882506,0.0896431679721496,0.1618798955613577,0.0714189630761263,58.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.0038975125757365614,0.01149983274461075,0.009573542210617896,0.005348795390118802,0.006092254134029598,-0.00031919971947740045
fold_01,11,random,10,7,0.566638832718938,0.8118568687646806,0.779301941080209,0.7127937336814621,0.0156657963446475,0.0548302872062663,0.1048738033072236,0.0497702401204326,0.0195822454308094,0.072236727589208,0.1261966927763272,0.0586861990196219,88.0,0.0226283724978241,0.0935596170583115,0.1614447345517841,0.0722640285639508,60.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.01275203548550563,0.01652773403276031,0.010443864229764996,0.0035358681840321968,0.002175805047867699,-0.0011642652073018955
fold_01,11,random,10,8,0.7937959230288513,0.8203588885328825,0.7877828617701004,0.6016100957354221,0.0147954743255004,0.0630983463881636,0.1148825065274151,0.0524552300255643,0.016100957354221,0.0530896431679721,0.0865970409051349,0.0459631016880454,118.5,0.0204525674499564,0.0948651000870322,0.1518711923411662,0.0691289928354412,63.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.004250015717303657,0.008046813342868941,0.002175805047867699,0.0008508782789004993,0.0008703220191470101,0.0019707705212076987
fold_01,11,random,10,9,0.7005351103317021,0.7916037974520547,0.7591470771136495,0.6503481288076589,0.0130548302872062,0.0496083550913838,0.0970409051348999,0.0448386064021641,0.0108790252393385,0.0448215839860748,0.0800696257615317,0.0394752039252028,141.0,0.0169712793733681,0.0696257615317667,0.1248912097476066,0.0564773092859665,78.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.03300510679813151,0.03668259799931983,0.015665796344647494,0.008467501902300702,0.02610966057441251,0.014622454070682404
fold_01,11,random,10,10,0.6015835915885872,0.8067403183303149,0.7786596645563972,0.6999564838990426,0.0156657963446475,0.0574412532637075,0.1005221932114882,0.049878504430129,0.0147954743255004,0.06266318537859,0.1070496083550913,0.0500536819898179,100.0,0.0152306353350739,0.088337684943429,0.154917319408181,0.0639394958516023,65.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.017868585919871283,0.01717001055657208,0.007832898172323799,0.0034276038743357995,0.007397737162750204,0.0071602675050466
fold_01,11,random,10,11,0.7663692104702311,0.7894171985932446,0.7601930483578715,0.6314186248912097,0.0187119234116623,0.0630983463881636,0.1026979982593559,0.0538663312644243,0.0117493472584856,0.0448215839860748,0.0839860748476936,0.041203563313921,113.0,0.0178416013925152,0.0748476936466492,0.134029590948651,0.0614158250631263,64.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.03519170565694163,0.03563662675509782,0.002175805047867699,-0.0005602229599594999,0.020887728459530006,0.009683938293522598
fold_01,11,random,10,12,0.8017431140672238,0.7970524942792802,0.7659092491343557,0.6057441253263708,0.016100957354221,0.0552654482158398,0.0961705831157528,0.0493909339713558,0.011314186248912,0.0526544821583986,0.082680591818973,0.0428666777180896,130.5,0.016100957354221,0.0757180156657963,0.1449086161879895,0.0625392466699069,68.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.027556409970906026,0.029920425978613663,0.010008703220191498,0.003915174333108999,0.0200174064403829,0.008560516686742
fold_01,11,random,10,13,0.5688493357107264,0.8261170079404575,0.7868207988142626,0.7177980852915579,0.0147954743255004,0.0639686684073107,0.1061792863359443,0.0516610737875212,0.0191470844212358,0.0713664055700609,0.1240208877284595,0.0597096652764702,75.0,0.0243690165361183,0.0974760661444734,0.1697127937336814,0.0771725784515904,53.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,-0.001508103690271323,0.009008876298706725,0.0013054830287205915,0.0016450345169435956,-0.0017406440382942007,-0.006072815094941494
fold_01,11,random,10,14,0.6224185055084495,0.8049334911880842,0.7737644521847729,0.6906005221932114,0.0165361183637946,0.0652741514360313,0.1079199303742384,0.0525920054631839,0.0195822454308094,0.0635335073977371,0.1135770234986945,0.0553092650434862,95.0,0.026544821583986,0.0966057441253263,0.1592689295039164,0.0762424010111884,62.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.019675413062101965,0.02206522292819646,0.0,0.0007141028412809003,-0.0008703220191470934,-0.0051426376545394975
fold_01,11,random,10,15,0.5494953126259946,0.8446030187827459,0.8083833170552268,0.7295474325500435,0.0152306353350739,0.0648389904264577,0.1048738033072236,0.0532134803649232,0.02088772845953,0.0818102697998259,0.1362053959965187,0.0662846083971061,66.5,0.0248041775456919,0.1053089643167972,0.1788511749347258,0.0811919690072271,50.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,-0.019994114532559726,-0.012553641942257499,0.00043516100957359527,9.26279395415952e-05,-0.009573542210618,-0.010092205650578195
fold_01,11,random,10,16,0.5929087686268945,0.8310309377132724,0.7957564507731539,0.7073542210617929,0.0143603133159268,0.0600522193211488,0.1074847693646649,0.050183364073215,0.0152306353350739,0.0670147954743255,0.1157528285465622,0.0552202397116071,77.5,0.0174064403829416,0.0913838120104438,0.1644908616187989,0.0711513983046441,52.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,-0.00642203346308623,7.32243398153809e-05,0.005221932114882498,0.0031227442312498008,0.0043516100957354115,-5.163494799520496e-05
fold_01,11,random,10,17,0.8219621545133433,0.7565798692774812,0.7343482265305081,0.6316362053959965,0.016100957354221,0.0561357702349869,0.0983463881636205,0.0486403272684556,0.0091383812010443,0.0339425587467362,0.0604873803307223,0.0333959035270515,146.0,0.011314186248912,0.0691906005221932,0.114012184508268,0.0518831189446763,80.0,4596,0.8246089042501862,0.7958296751129693,0.0652741514360313,0.0533061083044648,0.0957354221061792,0.0710997633566489,0.06802903497270496,0.061481448582461184,0.009138381201044397,0.004665781036009196,0.02654482158398601,0.0192166444119726
