checkpoint_a,checkpoint_b,pearson_corr,spearman_corr
fold_04_seed22,fold_06_seed22,0.9636406481240881,0.9468275769828286
fold_04_seed22,fold_06_seed33,0.9776457207268308,0.9685751617848287
fold_04_seed22,fold_07_seed11,0.9777867653811042,0.9719456361821867
fold_04_seed22,fold_07_seed22,0.9790767668539817,0.9680833770589626
fold_04_seed22,fold_07_seed33,0.973716366560354,0.9665318888443059
fold_04_seed22,fold_08_seed11,0.9840746406014551,0.9785116824593352
fold_04_seed22,fold_08_seed22,0.9719784882075905,0.9543483852382274
fold_04_seed22,fold_08_seed33,0.9526278016322779,0.9121577826476125
fold_04_seed33,fold_05_seed11,0.9867867338873261,0.9650771114334803
fold_04_seed33,fold_05_seed22,0.9821234986847969,0.9457040855170427
fold_04_seed33,fold_05_seed33,0.9805175207797721,0.9588423511013714
fold_04_seed33,fold_06_seed11,0.9872203532447379,0.9727213802895152
fold_04_seed33,fold_06_seed22,0.9719520482739559,0.9598876508534214
fold_04_seed33,fold_06_seed33,0.9872157748431252,0.9781001471238823
fold_04_seed33,fold_07_seed11,0.9797505785853525,0.961945327530685
fold_04_seed33,fold_07_seed22,0.9731437783746758,0.9498605924051154
fold_04_seed33,fold_07_seed33,0.9820508434833957,0.9678549749477864
fold_04_seed33,fold_08_seed11,0.9900178998505937,0.9764519481053942
fold_04_seed33,fold_08_seed22,0.9829495736003668,0.9642663868226385
fold_04_seed33,fold_08_seed33,0.9757247862488637,0.9487432739693612
fold_05_seed11,fold_05_seed22,0.9945845462180348,0.985783511836785
fold_05_seed11,fold_05_seed33,0.9920153497704928,0.9848822494521436
fold_05_seed11,fold_06_seed11,0.9791381652195273,0.9711719497515355
fold_05_seed11,fold_06_seed22,0.9614501974983319,0.9521260944267828
fold_05_seed11,fold_06_seed33,0.9777459479016203,0.9686019115816331
fold_05_seed11,fold_07_seed11,0.9871982643333755,0.9752132267456814
fold_05_seed11,fold_07_seed22,0.9797856934098611,0.9679907816084858
fold_05_seed11,fold_07_seed33,0.9884076045413229,0.9742378880006585
fold_05_seed11,fold_08_seed11,0.9909103325508025,0.9807751268043251
fold_05_seed11,fold_08_seed22,0.9828368188312233,0.9665997921746556
fold_05_seed11,fold_08_seed33,0.9724359067492948,0.9356194121217732
fold_05_seed22,fold_05_seed33,0.977672349944225,0.952823646820375
fold_05_seed22,fold_06_seed11,0.9774651108277216,0.963661429879523
fold_05_seed22,fold_06_seed22,0.9530328001166558,0.9331316810189615
fold_05_seed22,fold_06_seed33,0.9714911030533412,0.9475765712933526
fold_05_seed22,fold_07_seed11,0.988543928354837,0.9740773892198318
fold_05_seed22,fold_07_seed22,0.9852150269368889,0.9786207393232301
fold_05_seed22,fold_07_seed33,0.9845598065064743,0.9623856703396195
fold_05_seed22,fold_08_seed11,0.9894283923520788,0.9712583721719806
fold_05_seed22,fold_08_seed22,0.9749361641697742,0.9493461732357994
fold_05_seed22,fold_08_seed33,0.9542240519169485,0.8879636202763459
fold_05_seed33,fold_06_seed11,0.9738067536235381,0.954617940882949
fold_05_seed33,fold_06_seed22,0.9740690325259574,0.9666903299484552
fold_05_seed33,fold_06_seed33,0.9770567668253316,0.9649948043663897
fold_05_seed33,fold_07_seed11,0.9741759313701013,0.9533648157864955
fold_05_seed33,fold_07_seed22,0.9697559047820842,0.9460724096422729
fold_05_seed33,fold_07_seed33,0.9816707467461194,0.9652129180941799
fold_05_seed33,fold_08_seed11,0.9821202970007955,0.9664948506641151
fold_05_seed33,fold_08_seed22,0.9889206696185391,0.9773223453398766
fold_05_seed33,fold_08_seed33,0.9869357674405383,0.9685669310781196
fold_06_seed11,fold_06_seed22,0.9865667523209675,0.9746597117194975
fold_06_seed11,fold_06_seed33,0.9983899037995169,0.9941417944998302
fold_06_seed11,fold_07_seed11,0.9757597498299344,0.9680998384723807
fold_06_seed11,fold_07_seed22,0.974151085649154,0.9631902219204297
fold_06_seed11,fold_07_seed33,0.9773762165320081,0.9676553803100917
fold_06_seed11,fold_08_seed11,0.9884647839705137,0.9794417523174582
fold_06_seed11,fold_08_seed22,0.9842098456955548,0.9644124818667243
fold_06_seed11,fold_08_seed33,0.9721667713572184,0.9270800539111289
fold_06_seed22,fold_06_seed33,0.9894272627609907,0.9825303250100311
fold_06_seed22,fold_07_seed11,0.954826525766934,0.9414200026749796
fold_06_seed22,fold_07_seed22,0.959977054432293,0.9444879986007799
fold_06_seed22,fold_07_seed33,0.9628339600953583,0.9550027264215973
fold_06_seed22,fold_08_seed11,0.9711912665795968,0.9625132462936098
fold_06_seed22,fold_08_seed22,0.9866602381798502,0.9830406288259925
fold_06_seed22,fold_08_seed33,0.9801417540112748,0.9583423356687963
fold_06_seed33,fold_07_seed11,0.971851750552386,0.9605419920367911
fold_06_seed33,fold_07_seed22,0.9683815720884169,0.951035525787833
fold_06_seed33,fold_07_seed33,0.9764400934872705,0.9679167052481044
fold_06_seed33,fold_08_seed11,0.9871253243081385,0.9775898433079209
fold_06_seed33,fold_08_seed22,0.985976408554079,0.9688508904595821
fold_06_seed33,fold_08_seed33,0.9801301565833374,0.9523586118913134
fold_07_seed11,fold_07_seed22,0.996015687564711,0.9930368221241396
fold_07_seed11,fold_07_seed33,0.9982117257021056,0.995419611716411
fold_07_seed11,fold_08_seed11,0.9834489869331828,0.9671697686142577
fold_07_seed11,fold_08_seed22,0.9719452562489306,0.9456402975400474
fold_07_seed11,fold_08_seed33,0.9558265599526066,0.905505313950019
fold_07_seed22,fold_07_seed33,0.9934697858343222,0.9867465045217444
fold_07_seed22,fold_08_seed11,0.9782920178972375,0.9621593259051204
fold_07_seed22,fold_08_seed22,0.9722316750207184,0.9496280749405845
fold_07_seed22,fold_08_seed33,0.9502687373604676,0.8920563391874233
fold_07_seed33,fold_08_seed11,0.9842895102417476,0.9674578433490746
fold_07_seed33,fold_08_seed22,0.9782184899049036,0.9557908165889892
fold_07_seed33,fold_08_seed33,0.9673898937620288,0.9277652602446577
fold_08_seed11,fold_08_seed22,0.990971972203862,0.9808821259915429
fold_08_seed11,fold_08_seed33,0.9797186017157516,0.9466259246684569
fold_08_seed22,fold_08_seed33,0.9912775075036613,0.966548350257724
