fold,split,delta,rank,roi_i,roi_j,delta_value,abs_delta_value,direction
fold_04,train,delta_A_32,6,36,72,0.11465929448604584,0.11465929448604584,increase
fold_04,train,delta_A_32,7,35,168,0.11363977193832397,0.11363977193832397,increase
fold_04,train,delta_A_32,8,91,135,-0.11351117491722107,0.11351117491722107,decrease
fold_04,train,delta_A_32,9,39,110,0.11177611351013184,0.11177611351013184,increase
fold_04,train,delta_A_32,10,7,110,0.11131888628005981,0.11131888628005981,increase
fold_04,val,delta_A_21,1,54,118,-0.2762470245361328,0.2762470245361328,decrease
fold_04,val,delta_A_21,2,41,118,-0.2617383301258087,0.2617383301258087,decrease
fold_04,val,delta_A_21,3,125,166,-0.25698933005332947,0.25698933005332947,decrease
fold_04,val,delta_A_21,4,56,118,-0.2552301287651062,0.2552301287651062,decrease
fold_04,val,delta_A_21,5,89,171,0.25432807207107544,0.25432807207107544,increase
fold_04,val,delta_A_21,6,106,120,-0.2536592483520508,0.2536592483520508,decrease
fold_04,val,delta_A_21,7,36,125,-0.2527419924736023,0.2527419924736023,decrease
fold_04,val,delta_A_21,8,36,118,-0.25061124563217163,0.25061124563217163,decrease
fold_04,val,delta_A_21,9,106,125,-0.25044018030166626,0.25044018030166626,decrease
fold_04,val,delta_A_21,10,56,119,-0.24959507584571838,0.24959507584571838,decrease
fold_04,val,delta_A_31,1,117,133,0.4691932201385498,0.4691932201385498,increase
fold_04,val,delta_A_31,2,117,134,0.40886634588241577,0.40886634588241577,increase
fold_04,val,delta_A_31,3,80,171,-0.37093234062194824,0.37093234062194824,decrease
fold_04,val,delta_A_31,4,117,130,0.3672982454299927,0.3672982454299927,increase
fold_04,val,delta_A_31,5,106,171,-0.3638070225715637,0.3638070225715637,decrease
fold_04,val,delta_A_31,6,73,133,-0.3549432158470154,0.3549432158470154,decrease
fold_04,val,delta_A_31,7,108,171,-0.3323519825935364,0.3323519825935364,decrease
fold_04,val,delta_A_31,8,106,133,-0.32927989959716797,0.32927989959716797,decrease
fold_04,val,delta_A_31,9,108,134,-0.3247555196285248,0.3247555196285248,decrease
fold_04,val,delta_A_31,10,107,171,-0.31786057353019714,0.31786057353019714,decrease
fold_04,val,delta_A_32,1,75,133,-0.45758917927742004,0.45758917927742004,decrease
fold_04,val,delta_A_32,2,74,133,-0.430099755525589,0.430099755525589,decrease
fold_04,val,delta_A_32,3,121,133,0.4204849600791931,0.4204849600791931,increase
fold_04,val,delta_A_32,4,73,133,-0.4051132798194885,0.4051132798194885,decrease
fold_04,val,delta_A_32,5,106,171,-0.4022829532623291,0.4022829532623291,decrease
fold_04,val,delta_A_32,6,133,176,-0.38070958852767944,0.38070958852767944,decrease
fold_04,val,delta_A_32,7,129,133,-0.3651072680950165,0.3651072680950165,decrease
fold_04,val,delta_A_32,8,117,133,0.36105382442474365,0.36105382442474365,increase
fold_04,val,delta_A_32,9,133,171,0.36091434955596924,0.36091434955596924,increase
fold_04,val,delta_A_32,10,133,163,-0.35476863384246826,0.35476863384246826,decrease
fold_04,test,delta_A_21,1,25,35,0.25750839710235596,0.25750839710235596,increase
fold_04,test,delta_A_21,2,45,62,0.2499179244041443,0.2499179244041443,increase
fold_04,test,delta_A_21,3,45,89,0.24661308526992798,0.24661308526992798,increase
fold_04,test,delta_A_21,4,48,62,0.24206189811229706,0.24206189811229706,increase
fold_04,test,delta_A_21,5,89,136,0.2351474016904831,0.2351474016904831,increase
fold_04,test,delta_A_21,6,35,73,0.230424165725708,0.230424165725708,increase
fold_04,test,delta_A_21,7,28,89,0.2264094352722168,0.2264094352722168,increase
fold_04,test,delta_A_21,8,35,68,0.22378265857696533,0.22378265857696533,increase
fold_04,test,delta_A_21,9,137,168,0.2210511863231659,0.2210511863231659,increase
fold_04,test,delta_A_21,10,90,136,0.22033962607383728,0.22033962607383728,increase
fold_04,test,delta_A_31,1,45,130,0.2805301547050476,0.2805301547050476,increase
fold_04,test,delta_A_31,2,126,130,0.2622181177139282,0.2622181177139282,increase
fold_04,test,delta_A_31,3,120,165,0.255321204662323,0.255321204662323,increase
fold_04,test,delta_A_31,4,48,71,0.24661517143249512,0.24661517143249512,increase
fold_04,test,delta_A_31,5,47,117,0.24575623869895935,0.24575623869895935,increase
fold_04,test,delta_A_31,6,91,100,0.24571430683135986,0.24571430683135986,increase
fold_04,test,delta_A_31,7,44,122,0.24458031356334686,0.24458031356334686,increase
fold_04,test,delta_A_31,8,48,99,0.24240742623806,0.24240742623806,increase
fold_04,test,delta_A_31,9,77,165,-0.2420572191476822,0.2420572191476822,decrease
fold_04,test,delta_A_31,10,91,104,0.24122121930122375,0.24122121930122375,increase
fold_04,test,delta_A_32,1,120,165,0.2395208775997162,0.2395208775997162,increase
fold_04,test,delta_A_32,2,141,165,0.23914234340190887,0.23914234340190887,increase
fold_04,test,delta_A_32,3,28,89,-0.236134871840477,0.236134871840477,decrease
fold_04,test,delta_A_32,4,154,165,0.23336808383464813,0.23336808383464813,increase
fold_04,test,delta_A_32,5,73,145,-0.22973719239234924,0.22973719239234924,decrease
fold_04,test,delta_A_32,6,125,165,0.2266748696565628,0.2266748696565628,increase
fold_04,test,delta_A_32,7,25,145,-0.21043892204761505,0.21043892204761505,decrease
fold_04,test,delta_A_32,8,14,68,-0.21019570529460907,0.21019570529460907,decrease
fold_04,test,delta_A_32,9,152,165,0.20837879180908203,0.20837879180908203,increase
fold_04,test,delta_A_32,10,14,69,-0.2054159939289093,0.2054159939289093,decrease
