fold,subject,nsdId,repeat_1,repeat_2,raw_cosine_same_image
fold_01,1,16616,1,1,0.9295346736907959
fold_01,1,16616,2,2,0.9398937225341797
fold_01,1,16616,3,3,0.9074137210845947
fold_01,1,16702,1,1,0.9301780462265015
fold_01,1,16702,2,2,0.9305741190910339
fold_01,1,16702,3,3,0.9342215657234192
fold_01,1,16723,1,1,0.947834849357605
fold_01,1,16723,2,2,0.9300456047058105
fold_01,1,16723,3,3,0.9162514209747314
fold_01,1,16823,1,1,0.9245761632919312
fold_01,1,16823,2,2,0.9321444034576416
fold_01,1,16823,3,3,0.9396803975105286
fold_01,1,16917,1,1,0.9297479391098022
fold_01,1,16917,2,2,0.9295434951782227
fold_01,1,16917,3,3,0.9256298542022705
fold_01,1,17048,1,1,0.9269543886184692
fold_01,1,17048,2,2,0.9301798343658447
fold_01,1,17048,3,3,0.9223100543022156
fold_01,1,17238,1,1,0.9216840863227844
fold_01,1,17238,2,2,0.8990629315376282
fold_01,1,17238,3,3,0.9367151260375977
fold_01,1,17374,1,1,0.9497636556625366
fold_01,1,17374,2,2,0.931879460811615
fold_01,1,17374,3,3,0.9350565671920776
fold_01,1,17450,1,1,0.929425060749054
fold_01,1,17450,2,2,0.9216815233230591
fold_01,1,17450,3,3,0.9349368214607239
fold_01,1,17463,1,1,0.9285508990287781
fold_01,1,17463,2,2,0.9344465732574463
fold_01,1,17463,3,3,0.9298622012138367
fold_01,1,17485,1,1,0.9042683839797974
fold_01,1,17485,2,2,0.9433912634849548
fold_01,1,17485,3,3,0.9325160980224609
fold_01,1,17549,1,1,0.9003939628601074
fold_01,1,17549,2,2,0.9240745306015015
fold_01,1,17549,3,3,0.9479172825813293
fold_01,1,17595,1,1,0.9435499906539917
fold_01,1,17595,2,2,0.9223469495773315
fold_01,1,17595,3,3,0.919712483882904
fold_01,1,17776,1,1,0.9085776209831238
fold_01,1,17776,2,2,0.9297378063201904
fold_01,1,17776,3,3,0.9392421841621399
fold_01,1,17934,1,1,0.9088084101676941
fold_01,1,17934,2,2,0.9537951350212097
fold_01,1,17934,3,3,0.9275673031806946
fold_01,1,17942,1,1,0.9240339398384094
fold_01,1,17942,2,2,0.9178177714347839
fold_01,1,17942,3,3,0.9161734580993652
fold_01,1,18268,1,1,0.9298518300056458
fold_01,1,18268,2,2,0.918812096118927
fold_01,1,18268,3,3,0.9229044914245605
fold_01,1,18434,1,1,0.9146555066108704
fold_01,1,18434,2,2,0.9109416007995605
fold_01,1,18434,3,3,0.9001143574714661
fold_01,1,18483,1,1,0.924254834651947
fold_01,1,18483,2,2,0.9118368625640869
fold_01,1,18483,3,3,0.9253984093666077
fold_01,1,18505,1,1,0.9225284457206726
fold_01,1,18505,2,2,0.9323586821556091
fold_01,1,18505,3,3,0.907677173614502
fold_01,1,18543,1,1,0.936123788356781
fold_01,1,18543,2,2,0.8639941215515137
fold_01,1,18543,3,3,0.9371134638786316
fold_01,1,18690,1,1,0.9179317951202393
fold_01,1,18690,2,2,0.8998262286186218
fold_01,1,18690,3,3,0.8951185345649719
fold_01,1,18796,1,1,0.9170936942100525
fold_01,1,18796,2,2,0.9474143981933594
fold_01,1,18796,3,3,0.9264851808547974
fold_01,1,19074,1,1,0.9475851058959961
fold_01,1,19074,2,2,0.9448084235191345
fold_01,1,19074,3,3,0.9416148066520691
fold_01,1,19181,1,1,0.9363666772842407
fold_01,1,19181,2,2,0.9523944854736328
fold_01,1,19181,3,3,0.9390440583229065
fold_01,1,19199,1,1,0.9445255398750305
fold_01,1,19199,2,2,0.9118165373802185
fold_01,1,19199,3,3,0.9444379210472107
fold_01,1,19200,1,1,0.9121490716934204
fold_01,1,19200,2,2,0.93455970287323
fold_01,1,19200,3,3,0.9009460210800171
fold_01,1,19292,1,1,0.9179242253303528
fold_01,1,19292,2,2,0.9371222257614136
fold_01,1,19292,3,3,0.924396276473999
fold_01,1,19436,1,1,0.9453672766685486
