nsdId,mean_same_image_similarity,std_same_image_similarity,n_pairs
56867,0.9272903526822726,0.025019841492479083,24
56850,0.9272982701659203,0.023654841247436366,24
9147,0.9273018663128217,0.033750540706596235,24
68842,0.9273157318433126,0.01695601288418243,24
45837,0.9273255864779154,0.020505214457244483,12
35798,0.9274219845732053,0.03508772547230929,24
30887,0.9274260699748993,0.015736833969594646,12
36258,0.9274357689751519,0.01664798965083371,18
5542,0.9274913147091866,0.02054925868781289,24
67829,0.9274950101971626,0.019574222735320425,24
56290,0.9275167187054952,0.02078176874311003,12
25268,0.9275528863072395,0.02058355193655853,24
49979,0.9275603393713633,0.023314496092364276,24
13230,0.9275641043980917,0.018341000896128598,18
69918,0.9275733530521393,0.016049531551191504,12
50170,0.9275884057084719,0.019753495873375354,24
5602,0.9275914852817854,0.021117917366477595,24
33131,0.9276172320048014,0.022798737907579848,12
55163,0.9276222288608551,0.023578218615963417,24
36945,0.9276433984438578,0.0218875287636301,24
19199,0.9277299220363299,0.02690640971553494,24
28751,0.9277887120842934,0.03494180844224964,24
60867,0.9278065264225006,0.02245477775092685,18
47070,0.9278385465343794,0.02348680299889773,24
47290,0.9278611292441686,0.018821506636103973,24
37059,0.9278692901134491,0.028502390621708583,24
65267,0.9279082914193472,0.018023731357602633,24
54078,0.9279191518823305,0.020250697973347543,24
16252,0.9279215857386589,0.022324227351764533,24
26458,0.9279504716396332,0.018238736020105725,24
3157,0.9279656807581583,0.02381358833908994,24
15364,0.927978957692782,0.01989519551021371,24
10064,0.9279845158259074,0.018441237432736356,24
6489,0.9279974922537804,0.020251646916684407,24
26127,0.9280031157864465,0.022195129651329307,18
16616,0.9280631865064303,0.026280363308372485,24
8646,0.9280887593825659,0.030572432234770935,24
16823,0.9280911833047867,0.023157189420657757,24
48374,0.9280992647012075,0.02333892263650607,24
25578,0.9281545182069143,0.016691370856080096,24
22993,0.9281966164708138,0.019368211945450103,24
40846,0.9281991372505823,0.018656418903365935,24
46661,0.9282138496637344,0.018888388781801504,24
57650,0.9282581309477488,0.023354053097682296,24
56723,0.928264319896698,0.021557250246396997,24
