table,model,n,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,R@5_mean,R@5_std,MRR_mean,MRR_std,graph_encoder,readout,lambda_clip,image_R@5_mean,image_R@5_std,image_MRR_mean,image_MRR_std,brain_R@5_mean,brain_R@5_std,brain_MRR_mean,brain_MRR_std,lambda_cross
table_gated_controls_random,regraph_vlm_v0,2,0.8475143652248495,0.019563589677359113,0.8220221811586286,0.029688074994989235,0.0959449753690418,0.04829837998765982,0.07606670512766706,0.03619059112960406,bnt_token_flat,gated_flat,2.0,0.09463400001689945,0.05198307627871699,0.07440272563563365,0.03791978243140778,0.10957565464270315,0.05465144884817723,0.08392537644411895,0.033398906771739,0.0
table_heldout_image,regraph_vlm_v0,6,0.843334842249657,0.013897124784678883,0.8175319351217231,0.015341760433132883,0.28519970951343493,0.11248276821583836,0.1959642683810033,0.06267949878947202,bnt_token_flat,flat,2.0,0.21046477850399417,0.07993803955511913,0.1464763022285056,0.04438224977265949,0.22554466230936818,0.06490366660256354,0.15693212252555472,0.03849656477974724,0.0
table_heldout_image,regraph_vlm_v0,6,0.8505334170301704,0.016615443846947662,0.8301418441244932,0.014373107717449481,0.3054466230936819,0.07997776899310237,0.2158242647652866,0.05538308420408366,bnt_token_flat,gated_flat,2.0,0.23096949891067534,0.056183059168871514,0.15978382930120064,0.037181035719304215,0.24707697893972402,0.05323034329675251,0.16497536825221845,0.032562466671822006,0.0
table_heldout_image,regraph_vlm_v0,6,0.8453694452750842,0.00976238682035039,0.8190315654619161,0.01609178573842781,0.2713071895424837,0.07629390733454568,0.19377907585345297,0.050934851861581136,roi_mlp,flat,2.0,0.2097312999273783,0.038998864816474535,0.1474254154377095,0.022388190928534946,0.22844589687726938,0.04049097689519448,0.15463515666348632,0.024649495197550317,0.0
table_heldout_image_random,regraph_vlm_v0,6,0.8555509391766066,0.007753969008657734,0.8359742528091115,0.009260710891416168,0.2914705882352941,0.05677306720745839,0.20758311838544716,0.0413829892660926,bnt_token_flat,gated_flat,2.0,0.046681190994916466,0.013238112911891042,0.04774710290309997,0.009987149815232257,0.04170297748729116,0.010781988848820468,0.04381155126090769,0.008517802828374294,0.0
table_hard_negative_roi,regraph_vlm_v0,6,0.7928891786785912,0.023652862723752513,0.7601997024165214,0.029065873841103932,0.09687993780999937,0.029971246442713248,0.0754306721493427,0.021061469816619806,roi_mlp,flat,2.0,0.09379846271275706,0.03270835929245064,0.07357509220120291,0.02172749013533942,0.1077053072743711,0.021812267750644303,0.08452004282093734,0.016587872965591128,0.0
table_hard_negative_bnt_flat,regraph_vlm_v0,6,0.7934643430574493,0.026186672949427024,0.7658331096820928,0.031465540502984536,0.10884489396999215,0.04564222719201052,0.0829188017284785,0.03018182305343981,bnt_token_flat,flat,2.0,0.09936162302381973,0.041578104665758564,0.07600939609276314,0.02577754890557468,0.11894992409327369,0.027736715327013866,0.08747954839819767,0.017972350331219054,0.0
table_hard_negative_bnt_gated,regraph_vlm_v0,6,0.8030701623158425,0.02691273127720261,0.7753932730615899,0.029673436952023475,0.11441481406372782,0.04311675327983098,0.08759509768654711,0.02813567902578061,bnt_token_flat,gated_flat,2.0,0.10682878878777374,0.043411311746281676,0.08289067621057782,0.02805611682234579,0.12502626457226063,0.03524633494335986,0.09393083158431521,0.023296070449976034,0.0
table_cross_subject_infonce,regraph_vlm_v0,2,0.8563204708424446,0.01185309947672681,0.8372637906091749,0.015311266872237037,0.10645094510211489,0.04900162103429097,0.0828226032406077,0.03279056159002936,bnt_token_flat,gated_flat,2.0,0.10190921611870175,0.046271109918654275,0.07780847674800885,0.024777166889807734,0.11402612656003105,0.015404982077562324,0.08864805356844285,0.01083207297878954,0.1
table_cross_subject_infonce,regraph_vlm_v0,2,0.8330947763620534,0.04341355637833226,0.8149753919090441,0.04704238982451647,0.10416360364014295,0.05315175893565036,0.08229040241454535,0.03790527398204687,bnt_token_flat,gated_flat,2.0,0.09302136936297495,0.04785624033217382,0.0737644876598305,0.03161203635806705,0.1082245430809399,0.03550919170971612,0.0859399502514736,0.0261143393070444,0.3
