model,graph_encoder,readout,fold,seed,lambda_clip,lambda_cross,AUROC,AUPRC,balanced_accuracy,R@1,R@5,R@10,MRR,image_R@1,image_R@5,image_R@10,image_MRR,image_median_rank,brain_R@1,brain_R@5,brain_R@10,brain_MRR,brain_median_rank,best_val_metric,best_epoch,status,metrics_path,loss,clip_temperature,temperature,test_loss,n_test_pairs,n_nodes,node_feature_dim,clip_dim,roi_id_mode
regraph_vlm_v0,bnt_token_flat,flat,fold_05,11,2.0,0.0,0.8723976500548023,0.8510201111021274,0.7876414273281114,0.0217580504786771,0.098781549173194,0.1692776327241079,0.0737569666255086,0.0269799825935596,0.0961705831157528,0.1692776327241079,0.07795261435812,54.0,0.0335073977371627,0.1170583115752828,0.1940818102697998,0.0906138546053979,49.0,0.7719341020726637,12,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_2/fold_05/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.4448576662932612,4596,180,4,512,
regraph_vlm_v0,bnt_token_flat,flat,fold_05,22,2.0,0.0,0.8754594944254701,0.8521499994960221,0.7930809399477807,0.0230635335073977,0.0948651000870322,0.1684073107049608,0.0748667358400662,0.0226283724978241,0.0944299390774586,0.1640557006092254,0.0730861710741538,59.0,0.026544821583986,0.1100957354221061,0.1832027850304612,0.0816248841403963,50.0,0.7793663660833046,7,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_final/bnt_token_flat_clip/lambda_2/fold_05/seed_22/metrics.json,bce_infonce_clip,0.07,0.1,0.474735038165324,4596,180,4,512,normal
regraph_vlm_v0,bnt_token_flat,flat,fold_05,33,2.0,0.0,0.8712925153063814,0.8509823734859937,0.7902523933855526,0.0230635335073977,0.0900783289817232,0.1640557006092254,0.071992470255601,0.0234986945169712,0.0953002610966057,0.1649260226283725,0.0741096008505724,57.0,0.0322019147084421,0.1100957354221061,0.1901653611836379,0.0881891623232685,47.5,0.7792775526020884,10,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_final/bnt_token_flat_clip/lambda_2/fold_05/seed_33/metrics.json,bce_infonce_clip,0.07,0.1,0.4537353890164195,4596,180,4,512,normal
regraph_vlm_v0,bnt_token_flat,flat,fold_06,11,2.0,0.0,0.8236591970702251,0.8035908010993034,0.7469879518072289,0.0189328743545611,0.078600114744693,0.1376936316695352,0.0627183837050438,0.0177854274239816,0.0791738382099827,0.1290877796901893,0.0599633302860283,77.0,0.0235226620768789,0.0929432013769363,0.1526104417670682,0.0711360251989206,64.0,0.773143557356961,12,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_2/fold_06/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.5199042662627658,3486,180,4,512,
regraph_vlm_v0,bnt_token_flat,flat,fold_06,22,2.0,0.0,0.805454750729827,0.7852948930298675,0.7303499713138267,0.0160642570281124,0.0763052208835341,0.1262191623637406,0.05853473457685,0.0172117039586919,0.0631095811818703,0.114744693057946,0.0552613196881427,84.0,0.0246701090074584,0.087205966724039,0.153184165232358,0.0710404670798735,65.0,0.7693865795289115,8,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_final/bnt_token_flat_clip/lambda_2/fold_06/seed_22/metrics.json,bce_infonce_clip,0.07,0.1,0.5423282752827673,3486,180,4,512,normal
regraph_vlm_v0,bnt_token_flat,flat,fold_06,33,2.0,0.0,0.8256301988545939,0.8034487428006114,0.7461273666092942,0.0252438324727481,0.0889271371199082,0.144578313253012,0.06938372972561,0.0218014916810097,0.0808950086058519,0.1319563970166379,0.0635548350837004,77.0,0.0309810671256454,0.0981067125645439,0.1663798049340218,0.0789451766121507,57.0,0.7613099988479384,9,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_final/bnt_token_flat_clip/lambda_2/fold_06/seed_33/metrics.json,bce_infonce_clip,0.07,0.1,0.517478435872549,3486,180,4,512,normal
regraph_vlm_v0,bnt_token_flat,flat,fold_07,11,2.0,0.0,0.7182025691542424,0.7044692903627362,0.6542645778938208,0.0087032201914708,0.036988685813751,0.0670147954743255,0.0325892394719015,0.005657093124456,0.0308964316797214,0.0600522193211488,0.028791450884279,174.0,0.010443864229765,0.0443864229765013,0.0831157528285465,0.0399944396032106,113.5,0.8000234601648496,10,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_2/fold_07/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.663658201123861,4596,180,4,512,
regraph_vlm_v0,bnt_token_flat,flat,fold_07,22,2.0,0.0,0.7274678249751364,0.7085577788493211,0.6555700609225414,0.0095735422106179,0.0365535248041775,0.0665796344647519,0.0329732774952257,0.0087032201914708,0.0304612706701479,0.0526544821583986,0.0299573152667129,165.0,0.0069625761531766,0.0404699738903394,0.0774586597040905,0.0360897909338268,112.5,0.795735696107079,10,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_final/bnt_token_flat_clip/lambda_2/fold_07/seed_22/metrics.json,bce_infonce_clip,0.07,0.1,0.6407841781723281,4596,180,4,512,normal
regraph_vlm_v0,bnt_token_flat,flat,fold_07,33,2.0,0.0,0.7161429395978339,0.699321130703342,0.6523063533507398,0.0065274151436031,0.0335073977371627,0.0661444734551784,0.0312348667690309,0.0082680591818973,0.0304612706701479,0.0565709312445604,0.0305109802896092,170.0,0.010443864229765,0.0426457789382071,0.0796344647519582,0.0384079280635153,119.0,0.8062789455493763,9,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_final/bnt_token_flat_clip/lambda_2/fold_07/seed_33/metrics.json,bce_infonce_clip,0.07,0.1,0.6502849567548621,4596,180,4,512,normal
regraph_vlm_v0,bnt_token_flat,flat,fold_08,11,2.0,0.0,0.792550140865722,0.7802823056301307,0.7077669902912622,0.0265372168284789,0.086084142394822,0.148220064724919,0.069971368927534,0.0220064724919093,0.0783171521035598,0.1320388349514563,0.064125785342106,71.0,0.0200647249190938,0.0880258899676375,0.1488673139158576,0.0676956193284343,59.0,0.7417302365321644,16,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_seed11/bnt_token_flat_clip/lambda_2/fold_08/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.5922608603165759,3090,180,4,512,
regraph_vlm_v0,bnt_token_flat,flat,fold_08,22,2.0,0.0,0.766744797394246,0.7598399640700997,0.6935275080906149,0.0213592233009708,0.0744336569579288,0.1359223300970873,0.0628183235607579,0.0116504854368932,0.0711974110032362,0.1294498381877022,0.0536409778857211,80.0,0.0194174757281553,0.0822006472491909,0.1372168284789644,0.0646495268080705,69.0,0.7415270477753009,23,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_final/bnt_token_flat_clip/lambda_2/fold_08/seed_22/metrics.json,bce_infonce_clip,0.07,0.1,0.7606684312465507,3090,180,4,512,normal
regraph_vlm_v0,bnt_token_flat,flat,fold_08,33,2.0,0.0,0.7873394706800306,0.7790756048670991,0.6996763754045308,0.0233009708737864,0.088673139158576,0.1501618122977346,0.0700035444764836,0.0142394822006472,0.0770226537216828,0.1404530744336569,0.0600281745694224,69.0,0.0220064724919093,0.0809061488673139,0.145631067961165,0.068808438615521,59.0,0.746013107095056,15,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_final/bnt_token_flat_clip/lambda_2/fold_08/seed_33/metrics.json,bce_infonce_clip,0.07,0.1,0.5912715540734695,3090,180,4,512,normal
regraph_vlm_v0,bnt_token_flat,gated_flat,fold_01,11,2.0,0.0,0.8246089042501862,0.7958296751129693,0.7510879025239339,0.0156657963446475,0.0652741514360313,0.1135770234986945,0.0533061083044648,0.0178416013925152,0.0630983463881636,0.1127067014795474,0.0543112988341297,90.0,0.0217580504786771,0.0957354221061792,0.1553524804177545,0.0710997633566489,59.0,0.7921245064463087,6,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_gated_allfold_seed11/bnt_token_flat_gated_flat_clip/lambda_2/fold_01/seed_11/metrics.json,bce_infonce_clip,0.07,0.1,0.568718305248297,4596,180,4,512,normal
regraph_vlm_v0,bnt_token_flat,gated_flat,fold_01,22,2.0,0.0,0.8478756265144474,0.8236422369946605,0.7684943429068756,0.0187119234116623,0.0739773716275021,0.1288076588337685,0.0602491306182347,0.0187119234116623,0.072236727589208,0.124456048738033,0.0590650721310356,80.0,0.0234986945169712,0.1066144473455178,0.1723237597911227,0.0778173928611775,55.0,0.7878442831558111,8,ok,/gpfsnyu/scratch/xh2906/ReGraph-VLM/preproc_v0/repetition_familiarity/results/cross_subject_allfold_final/bnt_token_flat_gated_flat_clip/lambda_2/fold_01/seed_22/metrics.json,bce_infonce_clip,0.07,0.1,0.5059650731252732,4596,180,4,512,normal
